171,57,32,6,36
172,52,32,9,35
173,52,32,9,35
174,57,32,6,36
175,57,32,6,36
176,55,35,6,37
177,52,35,6,36
178,52,35,6,36
179,57,32,6,36
180,59,30,6,35
181,59,30,6,35
182,59,30,1,35
183,55,30,1,34
184,55,30,4,34
185,57,32,18,37
186,52,32,12,35
187,52,32,9,35
188,48,43,6,40
189,55,35,15,38
190,59,30,12,36
191,59,30,6,35
192,57,32,6,36
193,55,35,6,37
194,55,35,6,37
195,57,32,6,36
196,57,32,6,36
197,57,32,6,36
198,57,32,6,36
199,57,32,6,36
200,62,27,4,34
201,57,27,4,33
202,52,32,4,34
203,55,30,9,35
204,55,24,12,31
205,55,30,9,35
206,57,32,6,36
207,57,32,6,36
208,57,32,6,36
209,52,32,9,35
210,52,32,9,35
211,52,32,9,35
212,52,32,9,35
213,55,30,9,35
214,55,30,4,34
215,55,30,4,34
216,57,27,4,33
217,57,27,9,33
218,59,30,6,35
219,57,32,6,36
220,55,35,6,37
221,59,30,6,35
222,64,30,12,38
223,64,30,24,39
224,59,40,18,43
225,64,35,18,41
226,66,32,9,39
227,64,35,4,40
228,64,40,4,43
229,66,38,12,43
230,68,38,9,43
231,68,38,9,43
232,68,40,9,44
233,71,40,12,46
234,71,45,4,48
235,73,43,6,47
236,73,43,6,47
237,77,43,9,49
238,79,40,9,48
239,79,40,9,48
240,77,43,9,49
241,79,40,9,48
242,81,43,6,50
243,81,43,6,50
244,83,40,9,49
245,79,40,15,48
246,75,45,9,49
247,77,43,9,49
248,77,43,9,49
249,77,43,15,49
250,73,43,12,48
251,71,43,12,47
252,68,45,9,47
253,68,45,9,47
254,75,40,12,47
255,73,43,12,48
256,73,43,12,48
257,73,43,12,48
258,77,43,9,49
259,77,43,9,49
260,77,43,6,48
261,75,45,4,49
262,75,45,4,49
263,75,45,9,49
264,73,48,6,50
265,77,48,12,52
266,79,45,6,50
267,77,48,6,51
268,75,45,9,49
269,77,48,12,52
270,83,45,9,52
271,83,45,15,52
272,87,43,18,53
273,89,45,15,54
274,93,45,12,55
275,91,48,12,56
276,91,43,9,53
277,91,43,4,52
278,93,45,2,54
279,95,43,9,54
280,95,43,9,54
281,95,43,15,55
282,96,45,12,56
283,95,43,15,55
284,95,43,15,55
285,95,43,15,55
286,93,45,6,54
287,93,45,6,54
288,93,50,4,57
289,95,48,9,57
290,100,50,12,60
291,98,48,27,60
292,96,50,12,59
293,100,50,6,59
294,98,52,9,60
295,102,52,21,63
296,104,55,18,65
297,105,55,24,66
298,111,52,24,66
299,111,52,24,66
300,111,55,21,67
301,111,57,27,69
302,107,62,15,70
303,112,57,18,68
304,114,57,24,70
305,117,57,30,71
306,117,55,32,70
307,114,57,30,70
308,114,59,27,71
309,115,59,27,72
310,119,59,27,73
311,117,57,30,71
312,111,62,21,71
313,117,59,21,72
314,123,59,18,73
315,123,59,18,73
316,125,64,12,76
317,125,64,18,76
318,123,68,15,78
319,126,64,18,77
320,131,57,30,76
321,132,62,38,80
322,129,68,30,81
323,134,68,35,83
324,136,68,21,82
325,138,66,18,82
326,138,68,27,84
327,139,68,38,85
328,142,68,32,86
329,142,71,24,86
330,143,73,21,88
331,143,73,21,88
332,143,73,27,88
333,143,73,32,89
334,144,75,30,90
335,144,75,35,91
336,143,79,24,91
337,146,79,24,92
338,148,81,21,94
339,149,79,21,93
340,153,77,30,94
341,155,79,38,97
342,157,85,30,100
343,155,85,30,99
344,155,83,32,98
345,159,83,30,99
346,162,83,30,100
347,162,83,30,100
348,162,87,24,102
349,164,85,32,102
350,167,81,35,101
351,162,83,35,101
352,158,81,32,98
353,159,81,32,98
354,161,81,38,100
355,158,85,45,102
356,155,85,40,100
357,153,85,35,99
358,153,85,30,99
359,153,81,35,97
360,153,79,27,95
