,,,-0.1079,0.0824,,2.48E-04,6.15E+07,,8.24E-04
,,,-0.1078,0.0824,,2.50E-04,6.21E+07,,8.24E-04
,,,-0.1077,0.0824,,2.53E-04,6.27E+07,,8.24E-04
,,,-0.1076,0.082,,2.55E-04,6.34E+07,,8.20E-04
,,,-0.1075,0.0812,,2.58E-04,6.40E+07,,8.12E-04
,,,-0.1074,0.082,,2.60E-04,6.46E+07,,8.20E-04
,,,-0.1073,0.0828,,2.63E-04,6.52E+07,,8.28E-04
,,,-0.1072,0.0828,,2.65E-04,6.58E+07,,8.28E-04
,,,-0.1071,0.082,,2.68E-04,6.65E+07,,8.20E-04
,,,-0.107,0.0824,,2.70E-04,6.71E+07,,8.24E-04
,,,-0.1069,0.082,,2.73E-04,6.77E+07,,8.20E-04
,,,-0.1068,0.082,,2.75E-04,6.83E+07,,8.20E-04
,,,-0.1067,0.082,,2.78E-04,6.89E+07,,8.20E-04
,,,-0.1066,0.0832,,2.80E-04,6.96E+07,,8.32E-04
,,,-0.1065,0.0812,,2.83E-04,7.02E+07,,8.12E-04
,,,-0.1064,0.0828,,2.85E-04,7.08E+07,,8.28E-04
,,,-0.1063,0.082,,2.88E-04,7.14E+07,,8.20E-04
,,,-0.1062,0.0816,,2.90E-04,7.21E+07,,8.16E-04
,,,-0.1061,0.0828,,2.93E-04,7.27E+07,,8.28E-04
,,,-0.106,0.0828,,2.95E-04,7.33E+07,,8.28E-04
,,,-0.1059,0.0816,,2.98E-04,7.39E+07,,8.16E-04
,,,-0.1058,0.0824,,3.00E-04,7.45E+07,,8.24E-04
,,,-0.1057,0.0816,,3.03E-04,7.52E+07,,8.16E-04
,,,-0.1056,0.0824,,3.05E-04,7.58E+07,,8.24E-04
,,,-0.1055,0.0824,,3.08E-04,7.64E+07,,8.24E-04
,,,-0.1054,0.0824,,3.10E-04,7.70E+07,,8.24E-04
,,,-0.1053,0.0824,,3.13E-04,7.76E+07,,8.24E-04
,,,-0.1052,0.0824,,3.15E-04,7.83E+07,,8.24E-04
,,,-0.1051,0.0824,,3.18E-04,7.89E+07,,8.24E-04
,,,-0.105,0.0824,,3.20E-04,7.95E+07,,8.24E-04
,,,-0.1049,0.0824,,3.23E-04,8.01E+07,,8.24E-04
,,,-0.1048,0.0824,,3.25E-04,8.07E+07,,8.24E-04
,,,-0.1047,0.082,,3.28E-04,8.14E+07,,8.20E-04
,,,-0.1046,0.0824,,3.30E-04,8.20E+07,,8.24E-04
,,,-0.1045,0.0824,,3.33E-04,8.26E+07,,8.24E-04
,,,-0.1044,0.082,,3.35E-04,8.32E+07,,8.20E-04
,,,-0.1043,0.0824,,3.38E-04,8.39E+07,,8.24E-04
,,,-0.1042,0.082,,3.40E-04,8.45E+07,,8.20E-04
,,,-0.1041,0.0816,,3.43E-04,8.51E+07,,8.16E-04
,,,-0.104,0.0812,,3.45E-04,8.57E+07,,8.12E-04
,,,-0.1039,0.0816,,3.48E-04,8.63E+07,,8.16E-04
,,,-0.1038,0.0812,,3.50E-04,8.70E+07,,8.12E-04
,,,-0.1037,0.082,,3.53E-04,8.76E+07,,8.20E-04
,,,-0.1036,0.0824,,3.55E-04,8.82E+07,,8.24E-04
,,,-0.1035,0.0824,,3.58E-04,8.88E+07,,8.24E-04
,,,-0.1034,0.082,,3.60E-04,8.94E+07,,8.20E-04
,,,-0.1033,0.0828,,3.63E-04,9.01E+07,,8.28E-04
,,,-0.1032,0.0816,,3.65E-04,9.07E+07,,8.16E-04
,,,-0.1031,0.0816,,3.68E-04,9.13E+07,,8.16E-04
,,,-0.103,0.0824,,3.70E-04,9.19E+07,,8.24E-04
,,,-0.1029,0.0816,,3.73E-04,9.26E+07,,8.16E-04
,,,-0.1028,0.082,,3.75E-04,9.32E+07,,8.20E-04
,,,-0.1027,0.082,,3.78E-04,9.38E+07,,8.20E-04
,,,-0.1026,0.0808,,3.80E-04,9.44E+07,,8.08E-04
,,,-0.1025,0.0816,,3.83E-04,9.50E+07,,8.16E-04
,,,-0.1024,0.0812,,3.85E-04,9.57E+07,,8.12E-04
,,,-0.1023,0.082,,3.88E-04,9.63E+07,,8.20E-04
,,,-0.1022,0.0816,,3.90E-04,9.69E+07,,8.16E-04
,,,-0.1021,0.0812,,3.93E-04,9.75E+07,,8.12E-04
,,,-0.102,0.0816,,3.95E-04,9.81E+07,,8.16E-04
,,,-0.1019,0.0816,,3.98E-04,9.88E+07,,8.16E-04
,,,-0.1018,0.082,,4.00E-04,9.94E+07,,8.20E-04
,,,-0.1017,0.0816,,4.03E-04,1.00E+08,,8.16E-04
,,,-0.1016,0.0816,,4.05E-04,1.01E+08,,8.16E-04
,,,-0.1015,0.082,,4.08E-04,1.01E+08,,8.20E-04
,,,-0.1014,0.082,,4.10E-04,1.02E+08,,8.20E-04
,,,-0.1013,0.0812,,4.13E-04,1.02E+08,,8.12E-04
,,,-0.1012,0.0812,,4.15E-04,1.03E+08,,8.12E-04
,,,-0.1011,0.082,,4.18E-04,1.04E+08,,8.20E-04
,,,-0.101,0.082,,4.20E-04,1.04E+08,,8.20E-04
,,,-0.1009,0.082,,4.23E-04,1.05E+08,,8.20E-04
,,,-0.1008,0.0824,,4.25E-04,1.06E+08,,8.24E-04
,,,-0.1007,0.082,,4.28E-04,1.06E+08,,8.20E-04
,,,-0.1006,0.0812,,4.30E-04,1.07E+08,,8.12E-04
,,,-0.1005,0.0828,,4.33E-04,1.07E+08,,8.28E-04
,,,-0.1004,0.082,,4.35E-04,1.08E+08,,8.20E-04
,,,-0.1003,0.0824,,4.38E-04,1.09E+08,,8.24E-04
,,,-0.1002,0.0816,,4.40E-04,1.09E+08,,8.16E-04
,,,-0.1001,0.0828,,4.43E-04,1.10E+08,,8.28E-04
,,,-0.1,0.0824,,4.45E-04,1.11E+08,,8.24E-04
,,,-0.0999,0.0812,,4.48E-04,1.11E+08,,8.12E-04
,,,-0.0998,0.0824,,4.50E-04,1.12E+08,,8.24E-04
,,,-0.0997,0.0828,,4.53E-04,1.12E+08,,8.28E-04
,,,-0.0996,0.082,,4.55E-04,1.13E+08,,8.20E-04
,,,-0.0995,0.0824,,4.58E-04,1.14E+08,,8.24E-04
,,,-0.0994,0.082,,4.60E-04,1.14E+08,,8.20E-04
,,,-0.0993,0.082,,4.63E-04,1.15E+08,,8.20E-04
,,,-0.0992,0.082,,4.65E-04,1.16E+08,,8.20E-04
,,,-0.0991,0.082,,4.68E-04,1.16E+08,,8.20E-04
,,,-0.099,0.0824,,4.70E-04,1.17E+08,,8.24E-04
,,,-0.0989,0.082,,4.73E-04,1.17E+08,,8.20E-04
,,,-0.0988,0.082,,4.75E-04,1.18E+08,,8.20E-04
,,,-0.0987,0.0824,,4.78E-04,1.19E+08,,8.24E-04
,,,-0.0986,0.0824,,4.80E-04,1.19E+08,,8.24E-04
,,,-0.0985,0.0812,,4.83E-04,1.20E+08,,8.12E-04
,,,-0.0984,0.0828,,4.85E-04,1.21E+08,,8.28E-04
,,,-0.0983,0.0816,,4.88E-04,1.21E+08,,8.16E-04
,,,-0.0982,0.082,,4.90E-04,1.22E+08,,8.20E-04
,,,-0.0981,0.0824,,4.93E-04,1.22E+08,,8.24E-04
,,,-0.098,0.082,,4.95E-04,1.23E+08,,8.20E-04
,,,-0.0979,0.0816,,4.98E-04,1.24E+08,,8.16E-04
,,,-0.0978,0.0828,,5.00E-04,1.24E+08,,8.28E-04
,,,-0.0977,0.0832,,5.03E-04,1.25E+08,,8.32E-04
,,,-0.0976,0.0816,,5.05E-04,1.25E+08,,8.16E-04
,,,-0.0975,0.0828,,5.08E-04,1.26E+08,,8.28E-04
,,,-0.0974,0.082,,5.10E-04,1.27E+08,,8.20E-04
,,,-0.0973,0.082,,5.13E-04,1.27E+08,,8.20E-04
,,,-0.0972,0.0816,,5.15E-04,1.28E+08,,8.16E-04
,,,-0.0971,0.0824,,5.18E-04,1.29E+08,,8.24E-04
,,,-0.097,0.082,,5.20E-04,1.29E+08,,8.20E-04
,,,-0.0969,0.0824,,5.23E-04,1.30E+08,,8.24E-04
,,,-0.0968,0.082,,5.25E-04,1.30E+08,,8.20E-04
,,,-0.0967,0.082,,5.28E-04,1.31E+08,,8.20E-04
,,,-0.0966,0.0816,,5.30E-04,1.32E+08,,8.16E-04
,,,-0.0965,0.082,,5.33E-04,1.32E+08,,8.20E-04
,,,-0.0964,0.0824,,5.35E-04,1.33E+08,,8.24E-04
,,,-0.0963,0.0824,,5.38E-04,1.34E+08,,8.24E-04
,,,-0.0962,0.0812,,5.40E-04,1.34E+08,,8.12E-04
,,,-0.0961,0.082,,5.43E-04,1.35E+08,,8.20E-04
,,,-0.096,0.082,,5.45E-04,1.35E+08,,8.20E-04
,,,-0.0959,0.0808,,5.48E-04,1.36E+08,,8.08E-04
,,,-0.0958,0.082,,5.50E-04,1.37E+08,,8.20E-04
,,,-0.0957,0.0824,,5.53E-04,1.37E+08,,8.24E-04
,,,-0.0956,0.0812,,5.55E-04,1.38E+08,,8.12E-04
,,,-0.0955,0.0828,,5.58E-04,1.39E+08,,8.28E-04
,,,-0.0954,0.0812,,5.60E-04,1.39E+08,,8.12E-04
,,,-0.0953,0.0824,,5.63E-04,1.40E+08,,8.24E-04
,,,-0.0952,0.0824,,5.65E-04,1.40E+08,,8.24E-04
,,,-0.0951,0.082,,5.68E-04,1.41E+08,,8.20E-04
,,,-0.095,0.082,,5.70E-04,1.42E+08,,8.20E-04
,,,-0.0949,0.0812,,5.73E-04,1.42E+08,,8.12E-04
,,,-0.0948,0.0824,,5.75E-04,1.43E+08,,8.24E-04
,,,-0.0947,0.0816,,5.78E-04,1.43E+08,,8.16E-04
,,,-0.0946,0.082,,5.80E-04,1.44E+08,,8.20E-04
,,,-0.0945,0.0828,,5.83E-04,1.45E+08,,8.28E-04
,,,-0.0944,0.0812,,5.85E-04,1.45E+08,,8.12E-04
,,,-0.0943,0.0824,,5.88E-04,1.46E+08,,8.24E-04
,,,-0.0942,0.082,,5.90E-04,1.47E+08,,8.20E-04
,,,-0.0941,0.082,,5.93E-04,1.47E+08,,8.20E-04
,,,-0.094,0.0828,,5.95E-04,1.48E+08,,8.28E-04
,,,-0.0939,0.082,,5.98E-04,1.48E+08,,8.20E-04
,,,-0.0938,0.0828,,6.00E-04,1.49E+08,,8.28E-04
,,,-0.0937,0.0816,,6.03E-04,1.50E+08,,8.16E-04
,,,-0.0936,0.0824,,6.05E-04,1.50E+08,,8.24E-04
,,,-0.0935,0.0824,,6.08E-04,1.51E+08,,8.24E-04
,,,-0.0934,0.0824,,6.10E-04,1.52E+08,,8.24E-04
,,,-0.0933,0.082,,6.13E-04,1.52E+08,,8.20E-04
,,,-0.0932,0.0824,,6.15E-04,1.53E+08,,8.24E-04
