,"measured value, xi",y,"deviation, di=xi-x","deviation squared, (di)^2",fit,(y-fit)^2
,432,,132,17424,186.8077354,34897.13002
,433,211,133,17689,185.9817125,625.9147104
,434,,134,17956,185.1531493,34281.68869
,435,211,135,18225,184.3221125,711.7096824
,436,,136,18496,183.4886686,33668.09152
,437,211,137,18769,182.6528842,803.5589721
,438,,138,19044,181.8148257,33056.63086
,439,210,139,19321,180.9745595,842.4761955
,440,,140,19600,180.1321518,32447.59212
,441,208,141,19881,179.2876689,824.397959
,442,,142,20164,178.4411767,31841.25355
,443,205,143,20449,177.5927414,751.1578255
,444,,144,20736,176.7424287,31237.88609
,445,204,145,21025,175.8903043,790.1549905
,446,,146,21316,175.036434,30637.75322
,447,202,147,21609,174.180883,773.9032682
,448,,148,21904,173.3237168,30041.11082
,449,202,149,22201,172.4650005,872.3161946
,450,,150,22500,171.604799,29448.20705
,451,200,151,22801,170.7431772,855.9616793
,452,,152,23104,169.8801997,28859.28224
,453,201,153,23409,169.0159308,1022.98068
,454,,154,23716,168.1504349,28274.56877
,455,200,155,24025,167.283776,1070.351311
,456,,156,24336,166.4160179,27694.29101
,457,199,157,24649,165.5472241,1119.088213
,458,,158,24964,164.6774581,27118.66522
,459,198,159,25281,163.806783,1169.176087
,460,,160,25600,162.9352617,26547.8995
,461,198,161,25921,162.0629568,1291.471075
,462,,162,26244,161.1899307,25982.19376
,463,197,163,26569,160.3162455,1345.697842
,464,,164,26896,159.4419632,25421.73962
,465,196,165,27225,158.5671452,1401.21862
,466,,166,27556,157.6918528,24866.72046
,467,195,167,27889,156.8161472,1458.006615
,468,,168,28224,155.9400889,24317.31133
,469,194,169,28561,155.0637384,1516.032464
,470,,170,28900,154.1871558,23773.67903
,471,193,171,29241,153.3104009,1575.264276
,472,,172,29584,152.4335331,23235.98202
,473,194,173,29929,151.5566116,1801.441222
,474,,174,30276,150.6796951,22704.37051
,475,193,175,30625,149.8028421,1865.99445
,476,,176,30976,148.9261108,22178.98647
,477,196,177,31329,148.0495588,2299.24481
,478,,178,31684,147.1732437,21659.96365
,479,196,179,32041,146.2972223,2470.366106
,480,,180,32400,145.4215515,21147.42765
,481,196,181,32761,144.5462876,2647.484524
,482,,182,33124,143.6714863,20641.49598
,483,196,183,33489,142.7972033,2830.537574
,484,,184,33856,141.9234938,20142.27808
,485,195,185,34225,141.0504124,2910.558002
,486,,186,34596,140.1780136,19649.87549
,487,194,187,34969,139.3063512,2991.395217
,488,,188,35344,138.4354789,19164.38182
,489,193,189,35721,137.5654498,3072.98936
,490,,190,36100,136.6963165,18685.88294
,491,192,191,36481,135.8281314,3155.27882
,492,,192,36864,134.9609464,18214.45705
,493,192,193,37249,134.0948128,3353.010703
,494,,194,37636,133.2297817,17750.17474
,495,192,195,38025,132.3659037,3556.225442
,496,,196,38416,131.5032288,17293.09919
,497,188,197,38809,130.6418068,3289.962326
,498,,198,39204,129.7816869,16843.28624
,499,185,199,39601,128.9229177,3144.639154
,500,,200,40000,128.0655478,16400.78453
,501,184,201,40401,127.2096248,3225.146711
,502,,202,40804,126.3551963,15965.63563
,503,185,203,41209,125.5023091,3539.975225
,504,,204,41616,124.6510096,15537.8742
,505,185,205,42025,123.801344,3745.275501
,506,,206,42436,122.9533575,15117.52813
,507,185,207,42849,122.1070954,3955.517446
,508,,208,43264,121.2626021,14704.61868
,509,182,209,43681,120.4199217,3792.106037
,510,,210,44100,119.5790978,14299.16064
,511,178,211,44521,118.7401735,3511.727042
,512,,212,44944,117.9031912,13901.1625
,513,178,213,45369,117.0681933,3712.685073
,514,,214,45796,116.2352211,13510.62663
,515,176,215,46225,115.404316,3671.836925
,516,,216,46656,114.5755183,13127.5494
,517,176,217,47089,113.7488684,3875.203387
,518,,218,47524,112.9244057,12751.9214
,519,176,219,47961,112.1021694,4082.932758
,520,,220,48400,111.282198,12383.72759
,521,173,221,48841,110.4645297,3910.685051
,522,,222,49284,109.6492019,12022.94748
,523,172,223,49729,108.8362518,3989.659084
,524,,224,50176,108.025716,11669.55531
,525,171,225,50625,107.2176303,4068.190681
,526,,226,51076,106.4120305,11323.52023
,527,169,227,51529,105.6089514,4018.425043
,528,,228,51984,104.8084276,10984.80649
,529,164,229,52441,104.010493,3598.740948
,530,,230,52900,103.2151812,10653.37362
,531,161,231,53361,102.4225249,3431.320585
,532,,232,53824,101.6325568,10329.1766
,533,163,233,54289,100.8453086,3863.205662
,534,,234,54756,100.0608118,10012.16606
,535,163,235,55225,99.2790972,4060.353453
,536,,236,55696,98.50019519,9702.288453
,537,159,237,56169,97.72413559,3754.73156
,538,,238,56644,96.9509477,9399.48626
,539,157,239,57121,96.18066033,3698.992078
,540,,240,57600,95.41330175,9103.69815
